budget;homepage;id;original_language;original_title;popularity;release_date;revenue;runtime;status;tagline;title;vote_average;vote_count
175000000;http://movies.disney.com/the-good-dinosaur;105864;en;The Good Dinosaur;51.692.953;14/11/2015;331926147;93;Released;Little Arms With Big Attitude;The Good Dinosaur;6.6;1736
185000000;http://disney.go.com/brave/#/home;62177;en;Brave;125.114.374;21/06/2012;538983207;93;Released;Change your fate.;Brave;6.7;4641
185000000;http://www.startrekmovie.com/;188927;en;Star Trek Beyond;65.352.913;07/07/2016;343471816;122;Released;;Star Trek Beyond;6.6;2568
180000000;http://disney.go.com/disneypictures/wall-e/;10681;en;WALL·E;66.390.712;22/06/2008;521311860;98;Released;An adventure beyond the ordinar-E.;WALL·E;7.8;6296
140000000;;5174;en;Rush Hour 3;2.257.178;08/08/2007;258022233;91;Released;The Rush Is On!;Rush Hour 3;6.1;783
200000000;http://www.sonypictures.com/movies/2012;14161;en;2012;45.274.225;10/10/2009;769653595;158;Released;We Were Warned.;2012;5.6;4903
200000000;http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl;17979;en;A Christmas Carol;39.744.242;04/11/2009;325233863;96;Released;Season's Greedings;A Christmas Carol;6.6;1095
176000003;http://www.jupiterascending.com;76757;en;Jupiter Ascending;8.536.908;04/02/2015;183987723;124;Released;Expand your universe.;Jupiter Ascending;5.2;2768
180000000;http://legendoftarzan.com;258489;en;The Legend of Tarzan;42.741.719;29/06/2016;356743061;109;Released;Human. Nature.;The Legend of Tarzan;5.5;2430
180000000;;411;en;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;67.391.328;07/12/2005;748806957;143;Released;Evil Has Reigned For 100 Years...;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;6.7;2629
178000000;http://www.foxmovies.com/movies/x-men-apocalypse;246655;en;X-Men: Apocalypse;139.272.042;18/05/2016;543934787;144;Released;Only the strong will survive;X-Men: Apocalypse;6.4;4721
185000000;http://thedarkknight.warnerbros.com/dvdsite/;155;en;The Dark Knight;187.322.927;16/07/2008;1004558444;152;Released;Why So Serious?;The Dark Knight;8.2;12002
175000000;http://disney.go.com/disneypictures/up/;14160;en;Up;92.201.962;13/05/2009;735099082;96;Released;;Up;7.7;6870
175000000;http://www.monstersvsaliens.com/;15512;en;Monsters vs Aliens;36.167.578;19/03/2009;381509870;94;Released;When aliens attack, monsters fight back.;Monsters vs Aliens;6;1423
140000000;http://www.ironmanmovie.com/;1726;en;Iron Man;120.725.053;30/04/2008;585174222;126;Released;Heroes aren't born. They're built.;Iron Man;7.4;8776
170000000;http://www.hugomovie.com/;44826;en;Hugo;32.319.043;22/11/2011;185770160;126;Released;One of the most legendary directors of our time takes you on an extraordinary adventure.;Hugo;7;2141
170000000;;8487;en;Wild Wild West;40.748.915;29/06/1999;222104681;106;Released;It's a whole new west.;Wild Wild West;5.1;1020
145000000;http://www.themummy.com/;1735;en;The Mummy: Tomb of the Dragon Emperor;60.034.162;01/07/2008;401128639;112;Released;A New Evil Awakens.;The Mummy: Tomb of the Dragon Emperor;5.2;1387
175000000;http://www.suicidesquad.com/;297761;en;Suicide Squad;9.023.792;02/08/2016;745000000;123;Released;Worst Heroes Ever;Suicide Squad;5.9;7458
175000000;http://www.evanalmighty.com/;2698;en;Evan Almighty;27.082.182;09/06/2007;173000000;96;Released;A comedy of biblical proportions;Evan Almighty;5.3;1151
178000000;http://www.edgeoftomorrowmovie.com/;137113;en;Edge of Tomorrow;79.456.485;27/05/2014;370541256;113;Released;Live, Die, Repeat;Edge of Tomorrow;7.6;4858
175000000;;9804;en;Waterworld;44.640.292;28/07/1995;264218220;135;Released;Beyond the horizon lies the secret to a new beginning.;Waterworld;5.9;992
175000000;http://www.gijoemovie.com/;14869;en;G.I. Joe: The Rise of Cobra;32.852.443;04/08/2009;302469017;118;Released;When all else fails, they don't.;G.I. Joe: The Rise of Cobra;5.6;1962
175000000;http://movies.disney.com/inside-out;150540;en;Inside Out;128.655.964;09/06/2015;857611174;94;Released;Meet the little voices inside your head.;Inside Out;8;6560
175000000;http://movies.disney.com/the-jungle-book-2016;278927;en;The Jungle Book;94.199.316;07/04/2016;966550600;106;Released;;The Jungle Book;6.7;2892
200000000;http://www.ironmanmovie.com/;10138;en;Iron Man 2;77.300.194;28/04/2010;623933331;124;Released;It's not the armor that makes the hero, but the man inside.;Iron Man 2;6.6;6849
170000000;http://www.snowwhiteandthehuntsman.com/;58595;en;Snow White and the Huntsman;77.178.973;30/05/2012;396600000;127;Released;The Fairytale is Over;Snow White and the Huntsman;5.8;3118
180000000;http://movies.disney.com/maleficent;102651;en;Maleficent;110.620.647;28/05/2014;758539785;97;Released;Don't believe the fairy tale.;Maleficent;7;4496
170000000;http://www.dawnofapes.com/;119450;en;Dawn of the Planet of the Apes;243.791.743;26/06/2014;710644566;130;Released;One last chance for peace.;Dawn of the Planet of the Apes;7.3;4410
27000000;;79698;en;The Lovers;2.418.535;13/02/2015;0;109;Released;Love is longer than life.;The Lovers;4.8;34
175000000;;64686;en;47 Ronin;41.796.339;06/12/2013;150962475;119;Released;For courage. For loyalty. For honor.;47 Ronin;5.9;1326
170000000;http://www.captainamericathewintersoldiermovie.com;100402;en;Captain America: The Winter Soldier;72.225.265;20/03/2014;714766572;136;Released;In heroes we trust.;Captain America: The Winter Soldier;7.6;5764
165000000;http://www.shrekforeverafter.com/;10192;en;Shrek Forever After;44.041.186;16/05/2010;752600867;93;Released;It ain't Ogre... Til it's Ogre;Shrek Forever After;6;1959
190000000;http://movies.disney.com/tomorrowland;158852;en;Tomorrowland;130.311.355;19/05/2015;209154322;130;Released;Imagine a world where nothing is impossible.;Tomorrowland;6.2;2846
165000000;http://movies.disney.com/big-hero-6;177572;en;Big Hero 6;20.373.459;24/10/2014;652105443;102;Released;From the creators of Wreck-it Ralph and Frozen;Big Hero 6;7.8;6135
165000000;http://disney.go.com/wreck-it-ralph;82690;en;Wreck-It Ralph;62.341.073;01/11/2012;471222889;108;Released;The story of a regular guy just looking for a little wreck-ognition.;Wreck-It Ralph;7.1;4570
165000000;;5255;en;The Polar Express;47.323.228;10/11/2004;305875730;100;Released;This holiday season... believe.;The Polar Express;6.4;1474
165000000;http://www.warof1996.com;47933;en;Independence Day: Resurgence;48.775.723;22/06/2016;389681935;120;Released;We had twenty years to prepare. So did they.;Independence Day: Resurgence;4.9;2491
165000000;http://www.howtotrainyourdragon.com/;10191;en;How to Train Your Dragon;67.263.269;05/03/2010;494878759;98;Released;One adventure will change two worlds;How to Train Your Dragon;7.5;4227
200000000;;296;en;Terminator 3: Rise of the Machines;69.405.188;02/07/2003;435000000;109;Released;The Machines Will Rise.;Terminator 3: Rise of the Machines;5.9;2143
170000000;http://marvel.com/guardians;118340;en;Guardians of the Galaxy;481.098.624;30/07/2014;773328629;121;Released;All heroes start somewhere.;Guardians of the Galaxy;7.9;9742
165000000;http://www.interstellarmovie.net/;157336;en;Interstellar;724.247.784;05/11/2014;675120017;169;Released;Mankind was born on Earth. It was never meant to die here.;Interstellar;8.1;10867
160000000;http://inceptionmovie.warnerbros.com/;27205;en;Inception;16.758.371;14/07/2010;825532764;148;Released;Your mind is the scene of the crime.;Inception;8.1;13752
15000000;;315011;ja;シン・ゴジラ;9.476.999;29/07/2016;77000000;120;Released;A god incarnate. A city doomed.;Shin Godzilla;6.5;143
250000000;http://www.thehobbit.com/;49051;en;The Hobbit: An Unexpected Journey;108.849.621;26/11/2012;1021103568;169;Released;From the smallest beginnings come the greatest legends.;The Hobbit: An Unexpected Journey;7;8297
38000000;;9799;en;The Fast and the Furious;6.909.942;22/06/2001;207283925;106;Released;Live life 1/4 mile at a time.;The Fast and the Furious;6.6;3428
150000000;http://www.benjaminbutton.com/;4922;en;The Curious Case of Benjamin Button;60.269.279;24/11/2008;333932083;166;Released;Life isn't measured in minutes, but in moments.;The Curious Case of Benjamin Button;7.3;3292
160000000;http://www.x-menfirstclassmovie.com/;49538;en;X-Men: First Class;3.195.174;24/05/2011;353624124;132;Released;Witness the moment that will change our world.;X-Men: First Class;7.1;5181
160000000;http://www.thehungergames.movie/;131634;en;The Hunger Games: Mockingjay - Part 2;127.284.427;18/11/2015;653428261;137;Released;The fire will burn forever.;The Hunger Games: Mockingjay - Part 2;6.6;3984
150000000;http://disney.go.com/disneypictures/sorcerersapprentice/;27022;en;The Sorcerer's Apprentice;35.580.815;13/07/2010;215283742;109;Released;It's The Coolest Job Ever.;The Sorcerer's Apprentice;5.8;1470
160000000;http://www2.warnerbros.com/poseidon/;503;en;Poseidon;21.133.748;12/05/2006;181674817;99;Released;Mayday;Poseidon;5.5;583
170000000;http://movies.disney.com/alice-through-the-looking-glass;241259;en;Alice Through the Looking Glass;56.268.916;25/05/2016;299370084;113;Released;It's time for a little madness.;Alice Through the Looking Glass;6.5;1725
160000000;http://www.shrekthethird.com/flash/index.html;810;en;Shrek the Third;;;;;;;;;
160000000;http://www.warcraft-themovie.com/;68735;en;Warcraft;63.148.529;25/05/2016;433677183;123;Released;Two worlds. One home.;Warcraft;6.3;2268
155000000;http://www.terminatormovie.com/;87101;en;Terminator Genisys;;;;;;;;;
155000000;;10140;en;The Chronicles of Narnia: The Voyage of the Dawn Treader;49.661.984;13/08/2010;415686217;113;Released;Return to magic. Return to hope. Return to Narnia.;The Chronicles of Narnia: The Voyage of the Dawn Treader;6.2;1514
140000000;;676;en;Pearl Harbor;3.420.669;21/05/2001;449220945;183;Released;It takes a moment to change history. It takes love to change lives.;Pearl Harbor;6.6;1791
150000000;http://www.transformersmovie.com/;1858;en;Transformers;25.468.493;27/06/2007;709709780;144;Released;Their war. Our world.;Transformers;6.6;4040
155000000;;1966;en;Alexander;39.019.229;21/11/2004;167298192;175;Released;The greatest legend of all was real.;Alexander;5.6;927
150000000;http://www.harrypotterorderofthephoenix.com/;675;en;Harry Potter and the Order of the Phoenix;78.144.395;28/06/2007;938212738;138;Released;Evil Must Be Confronted.;Harry Potter and the Order of the Phoenix;7.4;5494
150000000;http://harrypotter.warnerbros.com/;674;en;Harry Potter and the Goblet of Fire;101.250.416;05/11/2005;895921036;157;Released;Dark And Difficult Times Lie Ahead.;Harry Potter and the Goblet of Fire;7.5;5608
150000000;http://www.sonypictures.com/movies/hancock/;8960;en;Hancock;56.758.411;01/07/2008;624029371;92;Released;Bad Behavior. Bad Attitude. Real Hero.;Hancock;6.2;2961
150000000;http://iamlegend.warnerbros.com/;6479;en;I Am Legend;70.867.401;14/12/2007;585349010;101;Released;The last man on Earth is not alone;I Am Legend;6.9;4853
150000000;https://www.warnerbros.com/charlie-and-chocolate-factory;118;en;Charlie and the Chocolate Factory;53.905.592;13/07/2005;474968763;115;Released;Willy Wonka is semi-sweet and nuts.;Charlie and the Chocolate Factory;6.7;3624
150000000;http://disney.go.com/disneypictures/ratatouille/;2062;en;Ratatouille;65.677.399;22/06/2007;623722818;111;Released;He's dying to become a chef.;Ratatouille;7.5;4369
150000000;http://www2.warnerbros.com/batmanbegins/index.html;272;en;Batman Begins;115.040.024;10/06/2005;374218673;140;Released;Evil fears the knight.;Batman Begins;7.5;7359
150000000;http://www.madagascar-themovie.com;10527;en;Madagascar: Escape 2 Africa;44.141.021;30/10/2008;603900354;89;Released;Still together. Still lost!;Madagascar: Escape 2 Africa;6.2;1810
150000000;http://www.nightatthemuseummovie.com;18360;en;Night at the Museum: Battle of the Smithsonian;81.781.591;20/05/2009;413106170;105;Released;When the lights go off the battle is on.;Night at the Museum: Battle of the Smithsonian;5.9;1971
150000000;http://www.x-menorigins.com/;2080;en;X-Men Origins: Wolverine;5.954.334;28/04/2009;373062864;107;Released;Witness the Origin.;X-Men Origins: Wolverine;6.2;4021
150000000;;605;en;The Matrix Revolutions;73.313.918;05/11/2003;424988211;129;Released;Everything that has a beginning has an end.;The Matrix Revolutions;6.4;3096
150000000;http://movies.disney.com/frozen;109445;en;Frozen;165.125.366;27/11/2013;1274219009;102;Released;Only the act of true love will thaw a frozen heart.;Frozen;7.3;5295
150000000;;604;en;The Matrix Reloaded;7.078.591;15/05/2003;738599701;138;Released;Free your mind.;The Matrix Reloaded;6.7;3443
170000000;http://marvel.com/thor;76338;en;Thor: The Dark World;99.499.595;29/10/2013;644571402;112;Released;Delve into the darkness;Thor: The Dark World;6.8;4755
150000000;http://www.madmaxmovie.com/;76341;en;Mad Max: Fury Road;434.278.564;13/05/2015;378858340;120;Released;What a Lovely Day.;Mad Max: Fury Road;7.2;9427
150000000;http://www.angelsanddemons.com/;13448;en;Angels & Demons;67.447.636;13/05/2009;356613439;138;Released;;Angels & Demons;6.5;2129
150000000;http://thor.marvel.com/;10195;en;Thor;86.493.424;21/04/2011;449326618;115;Released;Two worlds. One hero.;Thor;6.6;6525
150000000;http://movies.disney.com/bolt;13053;en;Bolt;41.845.878;21/11/2008;309979994;98;Released;Fully Awesome. Ridonculous. Let It Begin.;Bolt;6.3;1750
150000000;http://disney.go.com/disneypictures/gforce/;19585;en;G-Force;26.710.398;21/07/2009;292817841;88;Released;The world needs bigger heroes;G-Force;5.1;510
150000000;http://www.wrathofthetitansmovie.org;57165;en;Wrath of the Titans;44.927.635;27/03/2012;301000000;99;Released;Feel the Wrath;Wrath of the Titans;5.5;1431
150000000;http://darkshadowsmovie.warnerbros.com;62213;en;Dark Shadows;50.306.728;08/05/2012;245527149;113;Released;Every Family Has Its Demons;Dark Shadows;5.7;2320
150000000;http://www.missionimpossible.com;177677;en;Mission: Impossible - Rogue Nation;114.522.237;23/07/2015;682330139;131;Released;Desperate Times. Desperate Measures.;Mission: Impossible - Rogue Nation;7.1;3224
150000000;http://www.thewolfmanmovie.com/;7978;en;The Wolfman;21.214.571;11/02/2010;0;102;Released;When the moon is full the legend comes to life;The Wolfman;5.5;549
150000000;http://www.beemovie.com/;5559;en;Bee Movie;29.332.905;28/10/2007;287594577;91;Released;Born to bee wild.;Bee Movie;5.7;1171
150000000;http://www.thelastairbendermovie.com/;10196;en;The Last Airbender;33.769.336;30/06/2010;318502923;103;Released;Four nations, one destiny;The Last Airbender;4.7;1151
150000000;http://www.missionimpossible.com/;956;en;Mission: Impossible III;63.079.003;03/05/2006;397850012;126;Released;The Mission Begins 05:05:06.;Mission: Impossible III;6.5;2028
150000000;;117251;en;White House Down;39.004.588;27/06/2013;205366737;131;Released;It will start like any other day.;White House Down;6.4;1891
150000000;http://disney.go.com/disneypictures/marsneedsmoms/#home;50321;en;Mars Needs Moms;12.362.599;09/03/2011;38992758;88;Released;Mom needs a little space.;Mars Needs Moms;5.5;199
149000000;http://www.dreamworksanimation.com/flushed/;11619;en;Flushed Away;22.550.135;22/10/2006;64459316;85;Released;Someone's Going Down;Flushed Away;6;874
150000000;;266647;en;Pan;4.803.528;24/09/2015;128388320;111;Released;Every legend has a beginning.;Pan;5.9;954
145000000;;82703;en;Mr. Peabody & Sherman;3.873.494;07/02/2014;272912430;92;Released;He's Leaving His Mark On History;Mr. Peabody & Sherman;6.7;843
175000000;;652;en;Troy;66.803.149;13/05/2004;497409852;163;Released;For passion. For honor. For destiny. For victory. For love.;Troy;6.9;2759
145000000;;80321;en;Madagascar 3: Europe's Most Wanted;44.989.192;06/06/2012;746921274;93;Released;Six years ago, they disappeared without a trace. Next summer, they finally resurface.;Madagascar 3: Europe's Most Wanted;6.4;1808
140000000;http://www.mgm.com/view/movie/232/Die-Another-Day/;36669;en;Die Another Day;54.159.392;17/11/2002;431971116;133;Released;He’s never been cooler.;Die Another Day;5.8;1092
144000000;http://www.ghostbusters.com/;43074;en;Ghostbusters;6.621.806;14/07/2016;229147509;116;Released;Who You Gonna Call?;Ghostbusters;5.3;2142
140000000;;95;en;Armageddon;58.485.967;01/07/1998;553799566;151;Released;The Earth's Darkest Day Will Be Man's Finest Hour;Armageddon;6.4;2482
140000000;http://www.sonypictures.com/homevideo/meninblackii/;608;en;Men in Black II;91.332.849;03/07/2002;441818803;88;Released;Same Planet. New Scum.;Men in Black II;6;3114
70000000;http://www.beowulfmovie.com/;2310;en;Beowulf;35.601.665;05/11/2007;195735876;115;Released;Evil breeds pain.;Beowulf;5.5;841
145000000;http://www.kungfupanda.com/;140300;en;Kung Fu Panda 3;56.747.978;23/01/2016;521170825;95;Released;Grab destiny by the rice dumplings.;Kung Fu Panda 3;6.7;1603
145000000;http://www.missionimpossible.com/;56292;en;Mission: Impossible - Ghost Protocol;7.777.477;07/12/2011;694713380;133;Released;No Plan. No Backup. No Choice.;Mission: Impossible - Ghost Protocol;6.8;3972
145000000;http://www.riseoftheguardians.com/;81188;en;Rise of the Guardians;61.788.035;21/11/2012;306941670;97;Released;You better believe.;Rise of the Guardians;7.1;1922
100000000;http://www.sonypictures.com/movies/funwithdickandjane/;7552;en;Fun with Dick and Jane;25.159.168;21/12/2005;202026112;90;Released;Giving big businesses a run for their money!;Fun with Dick and Jane;5.9;627
140000000;;616;en;The Last Samurai;52.341.226;05/12/2003;456758981;154;Released;In the face of an enemy, in the heart of one man, lies the soul of a warrior.;The Last Samurai;7.3;1895
140000000;http://www.exodusgodsandkings.com/;147441;en;Exodus: Gods and Kings;101.599.427;03/12/2014;268031828;150;Released;Once brothers, now enemies.;Exodus: Gods and Kings;5.6;1921
150000000;;13475;en;Star Trek;73.616.808;06/05/2009;385680446;127;Released;The future begins.;Star Trek;7.4;4518
139000000;http://www.sonypictures.com/movies/spider-man/;557;en;Spider-Man;82.502.566;01/05/2002;821708551;121;Released;With great power comes great responsibility.;Spider-Man;6.8;5265
145000000;http://www.howtotrainyourdragon.com/;82702;en;How to Train Your Dragon 2;10.021.391;12/06/2014;609123048;102;Released;The training is over.;How to Train Your Dragon 2;7.6;3106
140000000;;205584;en;Gods of Egypt;56.257.249;25/02/2016;150680864;127;Released;The battle for eternity begins;Gods of Egypt;5.3;1277
135000000;;10048;en;Stealth;1.788.953;28/07/2005;76932943;121;Released;Fear The Sky;Stealth;4.9;331
130000000;https://www.warnerbros.com/watchmen;13183;en;Watchmen;64.798.873;05/03/2009;185258983;163;Released;Justice is coming to all of us.  No matter what we do.;Watchmen;7;2811
140000000;;944;en;Lethal Weapon 4;24.855.701;10/07/1998;285444603;127;Released;The faces you love. The action you expect.;Lethal Weapon 4;6.3;767
137000000;;1927;en;Hulk;34.981.698;19/06/2003;245360480;138;Released;Unleash the hero within;Hulk;5.3;1533
130000000;;7364;en;Sahara;21.605.568;06/04/2005;119269486;124;Released;Dirk Pitt. Adventure has a new name.;Sahara;5.7;434
